frequency_MHz,experimental_data,reference_full_data_fit,adaptive_fit_30_points,adaptive_fit_40_points,adaptive_fit_50_points,adaptive_fit_60_points,adaptive_fit_70_points,adaptive_fit_80_points,adaptive_fit_90_points
2738.0,1.0002644093905195,0.9998833480668345,1.0,0.999963971597186,0.9999439218801637,0.9999238977926314,0.9999004704628225,0.999885281883608,0.9998926065894616
2738.5,0.9999330538779846,0.9998807334276102,1.0,0.9999632358039937,0.999942738410921,0.9999222778110455,0.9998983440353849,0.9998828235550601,0.9998903044159562
2739.0,1.0008169829072984,0.9998780020932396,1.0,0.999962468930179,0.9999415039961737,0.9999205878707416,0.9998961257546459,0.999880258899436,0.9998879026496211
2739.5,1.0020346589057154,0.9998751461304657,1.0,0.9999616689132296,0.9999402152285972,0.9999188233007618,0.9998938094857946,0.999877580809648,0.9998853946332418
2740.0,1.001587215918896,0.999872156891764,1.0,0.9999608335066396,0.9999388683962501,0.9999169790143307,0.9998913885475457,0.999874781545099,0.9998827731162293
2740.5,1.0011434017345977,0.9998690249351878,1.0,0.9999599602594985,0.9999374594487999,0.9999150494628954,0.9998888556518043,0.9998718526617428,0.999880030189102
2741.0,1.000699588644678,0.9998657399327348,1.0,0.9999590464933394,0.9999359839592271,0.9999130285839278,0.9998862028352825,0.9998687849328621,0.9998771572092607
2741.5,1.000698354859366,0.9998622905646951,1.0,0.9999580892757668,0.9999344370802395,0.9999109097413261,0.999883421381682,0.9998655682590329,0.9998741447165925
2742.0,1.0006971210770963,0.9998586643963914,1.0,0.9999570853902378,0.9999328134943961,0.9999086856568207,0.9998805017326599,0.9998621915653398,0.999870982337052
2742.5,1.0005870568587936,0.9998548477320879,1.0,0.9999560313011185,0.9999311073565853,0.9999063483301553,0.9998774333852065,0.9998586426833305,0.9998676586717979
2743.0,0.9991456355153262,0.9998508254382309,1.0,0.9999549231127203,0.9999293122269323,0.999903888944716,0.9998742047720965,0.9998549082143179,0.999864161168544
