method,n_points,mean_RMSE,std_RMSE,n_spectra
Random,52,0.0017176970464860574,0.0008271410991760671,40
Random,53,0.00171272499581224,0.0011173543478281533,40
Random,54,0.0017070324316299575,0.0009337208069435971,40
Random,55,0.00173950733126082,0.0010050793016734873,40
Random,56,0.0014849554428672026,0.0006604722004159733,40
Random,57,0.0016550568572500225,0.001110245783986414,40
Random,58,0.00157267604658591,0.0009737582767469912,40
Random,59,0.0016179130168139147,0.0009066788763950321,40
Random,60,0.0014976662892118224,0.0007582424888003509,40
Random,61,0.0014417987885229524,0.0007523581157594278,40
Random,62,0.0013614435280259476,0.0005753433434587553,40
Random,63,0.0013587487853478901,0.0007737632410752308,40
Random,64,0.001343602036141725,0.0006771898097913694,40
Random,65,0.00130145795248255,0.0005873969233802847,40
Random,66,0.0012957314810645175,0.0007333574825630262,40
Random,67,0.001189030287646345,0.0006168598492991783,40
Random,68,0.0013129255535088424,0.000931882547781804,40
Random,69,0.0012396262498873226,0.000586623867425686,40
Random,70,0.00118719182842612,0.0005310977056129737,40
Random,71,0.0011585762082548525,0.000717521909432792,40
Random,72,0.0010739661711767225,0.00044939309481864965,40
Random,73,0.001074759546341655,0.0006170521866456813,40
Random,74,0.0010282084218432351,0.0005123087422334658,40
Random,75,0.0010218262597557226,0.0005146345747535527,40
Random,76,0.001031553395339495,0.0006158915937059277,40
Random,77,0.0010358736789723676,0.0006326950037550602,40
Random,78,0.0009618362194945825,0.0004341689981817223,40
Random,79,0.0009212126367643574,0.0003496883466653541,40
Random,80,0.0010559158231384326,0.0006122580602899998,40
Uniform,10,0.012935934059292078,0.014487153461633403,40
Uniform,11,0.004984390605750472,0.004406008019561211,40
Uniform,12,0.008828991491626725,0.009516395485174172,40
Uniform,13,0.004595974037614407,0.002206318048858565,40
Uniform,14,0.008636640921526979,0.009694679668446803,40
Uniform,15,0.004904912206129978,0.004588914873190972,40
Uniform,16,0.006574568084497789,0.007752274783342638,40
Uniform,17,0.010236806612294262,0.011909458755433717,40
Uniform,18,0.004652164107905115,0.007612348587304154,40
Uniform,19,0.00764237672736003,0.009862836065204161,40
Uniform,20,0.00288003374753327,0.0021037643400878226,40
Uniform,21,0.00651801934701563,0.009439909419782375,40
Uniform,22,0.0018095193766682425,0.0011365071789149394,40
Uniform,23,0.00553194788742875,0.008646993665858436,40
Uniform,24,0.0019017155302471077,0.0013197614293155718,40
Uniform,25,0.004070108212249972,0.006164742430913141,40
Uniform,26,0.001742768374838845,0.0012136938485072658,40
Uniform,27,0.003915610252881652,0.007688040075652332,40
Uniform,28,0.0015405821724401175,0.0009922765559503817,40
Uniform,29,0.002908359390918525,0.005448774493236555,40
Uniform,30,0.0017933137106716074,0.002407588446095394,40
Uniform,31,0.0029892458141951724,0.006494491083990901,40
Uniform,32,0.0018448376935734552,0.0023562113966973126,40
Uniform,33,0.00240041315555311,0.005460118088593367,40
Uniform,34,0.0039298187388068775,0.007527779038040131,40
Uniform,35,0.0023680637587676473,0.005449228838598286,40
Uniform,36,0.003929255988535135,0.007944256989704617,40
Uniform,37,0.002675515404179862,0.005610812917403738,40
Uniform,38,0.003146876010850318,0.0067563911530853955,40
Uniform,39,0.0024298453116055026,0.005824173070023478,40
Uniform,40,0.003211639909759455,0.006774306914740165,40
Uniform,41,0.002443903887153193,0.005815343354532213,40
Uniform,42,0.001764037918653445,0.004783948218359513,40
Uniform,43,0.0015610639479787369,0.003514344550125292,40
Uniform,44,0.00173066293354654,0.004806940870161349,40
Uniform,45,0.0015275231722389863,0.0035185287808532574,40
Uniform,46,0.0016456235353438102,0.004813367116508221,40
Uniform,47,0.000561427595252866,0.0003173206662286654,40
Uniform,48,0.0009958090745786426,0.0027129960053263354,40
Uniform,49,0.0010453562768337325,0.0034063099059222714,40
Uniform,50,0.0008701251967286744,0.0026863833002800062,40
Uniform,51,0.0009900664833771488,0.003414005739836719,40
Uniform,52,0.000879629572191509,0.0026915811153058996,40
Uniform,53,0.000432568189277355,0.0002758238866982442,40
Uniform,54,0.0003963255545095825,0.00024001733319815546,40
Uniform,55,0.00056813907016207,0.0010908832967677765,40
Uniform,56,0.0004460503443395627,0.00037956374663890275,40
Uniform,57,0.0005737420618514919,0.0011005001972081705,40
Uniform,58,0.00044797940818389146,0.0004265610603193428,40
Uniform,59,0.0003962938351397159,0.0002804907749209071,40
Uniform,60,0.0003549632124139225,0.0002585315409247462,40
Uniform,61,0.00037328221661401905,0.0002899452844187939,40
Uniform,62,0.00033022358581181284,0.00019064152826656525,40
Uniform,63,0.0007504607397217809,0.0024854829833606644,40
Uniform,64,0.00027680144831136256,0.0001905802158838656,40
Uniform,65,0.00025461741843835965,0.00019428419707314746,40
Uniform,66,0.0002591607006935529,0.00019600255607051895,40
Uniform,67,0.00023827246327209108,0.0001889086777360123,40
Uniform,68,0.0007061642514011406,0.002909107656029091,40
Uniform,69,0.000257867095827707,0.00017578251591292906,40
Uniform,70,0.0007047562626580145,0.002909464323575884,40
Uniform,71,0.00025509368533643226,0.00021095329767328587,40
Uniform,72,0.0007196841929001989,0.0029047610756095985,40
Uniform,73,0.00025800045319333744,0.0001869583830022186,40
Uniform,74,0.0007427595243995264,0.0029003870792655008,40
Uniform,75,0.0002935369977354026,0.00020397750839626315,40
Uniform,76,0.00024197286065521153,0.00012924106934260153,40
Uniform,77,0.0002720266538249938,0.00016651579681368413,40
Uniform,78,0.0002398943938415903,0.00020053850884389125,40
Uniform,79,0.0002602401728238144,0.00015143761949037743,40
Uniform,80,0.0002529557444009901,0.00019488305082209748,40
